id;name;specification;description;price
1;approach leverage Wooden;Fantastic Concrete Tuna panel Naira;Administrator;62991
2;payment Path;Practical Steel Shirt Refined Soft Table Future;black mobile;53942
3;Minnesota Plastic;Future;invoice XML;58143
4;Branding architect program;Industrial;Alaska;91526
5;Technician yellow input;Cotton;Tactics Vermont;38143
6;Intelligent Fresh Cheese calculate definition;Pakistan Rupee;SMS firmware;48700
7;Credit Card Account Dobra Delaware;Refined Steel Gloves withdrawal;redundant HTTP;82816
8;Ergonomic Tasty Metal Shoes;Tenge optical;Generic Concrete Tuna;43043
9;Shoes mindshare Specialist;Organized;Jewelery Wooden;95147
10;bandwidth;deposit virtual;EXE violet ADP;79128
