id;address;latitude;longitude;city
1;Secured productize;schemas;calculate program;Karlborough
2;Pants;multi-byte Soft;Colombia Licensed Plastic Hat;Port Miles
3;generating Liaison Chief;Sports Falkland Islands (Malvinas) cross-platform;index bricks-and-clicks Secured;Granthaven
4;Savings Account Reverse-engineered;Directives Rustic Bedfordshire;24 hour Investor Concrete;North Ashly
5;COM Concrete sky blue;Bolivar Fuerte backing up;Licensed European Unit of Account 17(E.U.A.-17) auxiliary;Welchmouth
6;Venezuela Checking Account;Small Soft Pizza;extend Fully-configurable e-services;Lake Julio
7;Exclusive Incredible Fresh Keyboard;compelling Algeria;Fantastic Plastic Computer invoice;Corkerymouth
8;impactful infomediaries Martinique;deposit synthesize;Missouri fuchsia;Pacochaport
9;pixel Jewelery Movies;Stream cross-platform;online;North Susan
10;Jewelery connect TCP;West Virginia interface;teal;West Herbertshire
