id;type;status;start_date;end_date;fees
1;WEEKLY;PENDING;2021-03-07T15:08:31;2021-03-08T01:29:09;85374
2;WEEKLY;PAID;2021-03-07T14:45:01;2021-03-07T21:41:16;84062
3;WEEKLY;APPROVED;2021-03-07T22:19:24;2021-03-08T06:27:17;81824
4;WEEKLY;PAID;2021-03-08T10:28:38;2021-03-08T04:34:47;2317
5;WEEKLY;APPROVED;2021-03-08T02:15:46;2021-03-08T12:28:48;86168
6;MONTHLY;APPROVED;2021-03-08T00:34:05;2021-03-08T07:57:59;31471
7;MONTHLY;PENDING;2021-03-08T01:34:53;2021-03-08T07:34:39;50027
8;WEEKLY;PENDING;2021-03-08T07:08:14;2021-03-07T13:07:24;11537
9;WEEKLY;APPROVED;2021-03-08T00:49:22;2021-03-08T11:43:50;66427
10;MONTHLY;PAID;2021-03-07T22:14:44;2021-03-08T08:28:32;70788
